id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
1,0,1,0,1,1,0,0,0,0,1,1,0,0,3,1,0
2,6,0,2,2,1,0,0,1,0,0,1,0,0,2,0,1
3,3,0,4,0,0,0,0,2,0,3,0,0,1,5,1,1
4,2,0,7,3,5,0,1,1,3,4,8,1,0,8,0,0
5,1,0,2,2,3,0,0,1,0,3,0,0,1,0,1,0
6,5,0,6,1,0,11,0,0,0,4,0,0,0,0,0,0
7,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,1
8,4,3,14,0,1,1,2,2,0,1,2,0,0,4,1,0
9,3,15,2,0,0,2,1,2,0,17,2,4,16,53,3,0
10,7,0,2,0,4,1,0,0,2,1,0,0,0,0,0,0
11,2,5,0,1,2,0,0,0,1,7,0,0,1,2,3,1
12,0,0,18,0,0,0,0,1,4,0,0,1,0,12,0,0
13,0,0,3,1,0,0,0,0,0,5,0,0,0,7,0,1
14,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,1
15,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1
16,6,0,2,0,0,0,0,1,0,1,0,0,0,2,0,1
17,49,1,11,3,3,2,6,1,1,2,5,2,2,13,3,0
18,0,4,0,0,4,0,0,0,2,0,0,0,0,2,0,0
19,0,1,7,0,2,0,1,0,1,0,1,0,0,1,0,1
20,2,2,6,2,0,9,1,0,14,11,1,0,0,0,0,0
21,1,0,0,0,0,7,0,0,0,0,0,0,1,3,0,0
22,0,0,0,1,1,0,0,1,2,0,0,0,0,1,0,0
23,0,0,1,0,3,0,0,1,0,0,2,0,0,0,0,1
24,6,1,2,0,0,1,0,1,0,0,0,0,2,3,2,0
25,7,0,5,1,1,1,1,0,2,0,1,1,1,4,1,0
26,1,1,30,1,0,1,2,4,0,1,0,1,1,3,1,1
27,0,4,4,0,0,0,0,2,1,10,0,4,1,0,1,0
28,3,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0
29,4,0,1,2,1,0,0,2,2,3,0,0,0,0,4,1
30,4,0,6,2,0,0,0,0,0,1,0,1,1,0,2,0
31,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
32,0,1,2,0,0,1,2,1,1,2,2,0,0,3,0,1
33,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0
34,0,1,9,0,0,0,0,0,1,4,1,0,0,11,0,1
35,5,0,5,0,1,0,1,0,1,0,0,0,0,10,2,1
36,0,0,0,0,1,3,1,0,0,6,1,0,0,0,0,1
37,4,0,0,0,11,0,0,0,0,0,1,0,0,0,0,1
38,4,2,9,0,1,1,1,1,3,1,5,1,1,0,0,0
39,0,1,0,1,0,0,0,0,0,2,0,0,0,16,0,1
40,0,0,1,0,0,1,0,3,0,1,2,0,1,3,0,0
41,6,12,6,1,0,2,4,0,1,1,3,0,2,7,1,1
